Dags,Konnun,Flokkur,Fylgi
31.10.2012,Capacent,Samfylkingin,"22,1"
30.11.2012,Capacent,Samfylkingin,"22,5"
31.12.2012,Capacent,Samfylkingin,"19,1"
31.01.2013,Capacent,Samfylkingin,"15,6"
28.02.2013,Capacent,Samfylkingin,"15,4"
14.03.2013,Capacent,Samfylkingin,14
02.04.2013,Capacent,Samfylkingin,15
11.04.2013,Capacent,Samfylkingin,"11,8"
18.04.2013,Capacent,Samfylkingin,"15,2"
26.04.2013,Capacent,Samfylkingin,"14,6"
31.05.2013,Capacent,Samfylkingin,"15,5"
30.06.2013,Capacent,Samfylkingin,"15,3"
31.07.2013,Capacent,Samfylkingin,14
31.08.2013,Capacent,Samfylkingin,17
30.09.2013,Capacent,Samfylkingin,"15,8"
31.10.2013,Capacent,Samfylkingin,"18,1"
30.11.2013,Capacent,Samfylkingin,"16,6"
31.12.2013,Capacent,Samfylkingin,"15,1"
31.01.2014,Capacent,Samfylkingin,"14,9"
31.05.2004,Capacent,Sjálfstæðisflokkur,"29,2"
30.06.2004,Capacent,Sjálfstæðisflokkur,"31,1"
31.07.2004,Capacent,Sjálfstæðisflokkur,"30,9"
31.08.2004,Capacent,Sjálfstæðisflokkur,"33,2"
30.09.2004,Capacent,Sjálfstæðisflokkur,"35,5"
31.10.2004,Capacent,Sjálfstæðisflokkur,"34,2"
30.11.2004,Capacent,Sjálfstæðisflokkur,"34,8"
31.12.2004,Capacent,Sjálfstæðisflokkur,"34,6"
31.01.2005,Capacent,Sjálfstæðisflokkur,"33,3"
28.02.2005,Capacent,Sjálfstæðisflokkur,"37,4"
31.03.2005,Capacent,Sjálfstæðisflokkur,38
30.04.2005,Capacent,Sjálfstæðisflokkur,"36,7"
31.05.2005,Capacent,Sjálfstæðisflokkur,"37,6"
30.06.2005,Capacent,Sjálfstæðisflokkur,"37,8"
31.07.2005,Capacent,Sjálfstæðisflokkur,"37,9"
31.08.2005,Capacent,Sjálfstæðisflokkur,"36,4"
30.09.2005,Capacent,Sjálfstæðisflokkur,"44,1"
31.10.2005,Capacent,Sjálfstæðisflokkur,"41,5"
30.11.2005,Capacent,Sjálfstæðisflokkur,"42,7"
31.12.2005,Capacent,Sjálfstæðisflokkur,"41,6"
31.01.2006,Capacent,Sjálfstæðisflokkur,"42,6"
28.02.2006,Capacent,Sjálfstæðisflokkur,"41,7"
31.03.2006,Capacent,Sjálfstæðisflokkur,"40,2"
30.04.2006,Capacent,Sjálfstæðisflokkur,"39,4"
31.05.2006,Capacent,Sjálfstæðisflokkur,"39,6"
30.06.2006,Capacent,Sjálfstæðisflokkur,"42,6"
31.07.2006,Capacent,Sjálfstæðisflokkur,"42,6"
31.08.2006,Capacent,Sjálfstæðisflokkur,"40,8"
30.09.2006,Capacent,Sjálfstæðisflokkur,"41,2"
31.10.2006,Capacent,Sjálfstæðisflokkur,"42,9"
30.11.2006,Capacent,Sjálfstæðisflokkur,"37,5"
31.12.2006,Capacent,Sjálfstæðisflokkur,"37,8"
31.01.2007,Capacent,Sjálfstæðisflokkur,"37,3"
28.02.2007,Capacent,Sjálfstæðisflokkur,"36,3"
31.03.2007,Capacent,Sjálfstæðisflokkur,37
30.04.2007,Capacent,Sjálfstæðisflokkur,"39,6"
31.05.2007,Capacent,Sjálfstæðisflokkur,41
30.06.2007,Capacent,Sjálfstæðisflokkur,"40,6"
31.07.2007,Capacent,Sjálfstæðisflokkur,"45,1"
31.08.2007,Capacent,Sjálfstæðisflokkur,"41,7"
30.09.2007,Capacent,Sjálfstæðisflokkur,"42,4"
31.10.2007,Capacent,Sjálfstæðisflokkur,"41,1"
30.11.2007,Capacent,Sjálfstæðisflokkur,"39,1"
31.12.2007,Capacent,Sjálfstæðisflokkur,"40,3"
